TONGUE_MOVES_AGAINST_CHEEK_CHEEK_ITSELF,4,5,2,1
EARS,4,3,3,1
LOCATION_SPACE_WALL_PLANE,6,1,1,1
LOCATION_SPACE_FLOOR_PLANE,6,1,1,2
LOCATION_HEIGHT,6,1,2,1
LOCATION_WIDTH,6,1,3,1
LOCATION_DEPTH,6,1,4,1
LOCATION_HEAD_NECK,6,1,5,1
LOCATION_TORSO,6,1,6,1
LOCATION_LIMBS_DIGITS,6,1,7,1
FAST,3,1,1,1
SLOW,3,1,2,1
TENSE,3,1,3,1
RELAXED,3,1,3,2
SAME_TIME,3,1,4,1
SAME_TIME_ALTERNATING,3,1,4,2
EVERY_OTHER_TIME,3,1,4,3
GRADUAL,3,1,4,4
TOUCH_SINGLE,2,1,1,1
TOUCH_MULTIPE,2,1,2,1
TOUCH_BETWEEN,2,1,3,1
GRASP_SINGLE,2,1,4,1
GRASP_MULTIPLE,2,1,5,1
GRASP_BETWEEN,2,1,6,1
STRIKE_SINGLE,2,1,7,1
STRIKE_MULTIPLE,2,1,8,1
STRIKE_BETWEEN,2,1,9,1
BRUSH_SINGLE,2,1,10,1
BRUSH_MULTIPLE,2,1,11,1
BRUSH_BETWEEN,2,1,12,1
RUB_SINGLE,2,1,13,1
RUB_MULTIPLE,2,1,14,1
RUB_BETWEEN,2,1,15,1
SURFACE_SYMBOLS,2,1,16,1
SURFACE_BETWEEN,2,1,17,1
SQUEEZE_LARGE_SINGLE,2,2,1,1
SQUEEZE_SMALL_SINGLE,2,2,1,2
SQUEEZE_LARGE_MULTIPLE,2,2,2,1
SQUEEZE_SMALL_MULTIPLE,2,2,2,2
SQUEEZE_SEQUENTIAL,2,2,3,1
FLICK_LARGE_SINGLE,2,2,4,1
FLICK_SMALL_SINGLE,2,2,4,2
FLICK_LARGE_MULTIPLE,2,2,5,1
FLICK_SMALL_MULTIPLE,2,2,5,2
FLICK_SEQUENTIAL,2,2,6,1
SQUEEZE_FLICK_ALTERNATING,2,2,7,1
HINGE_MOVEMENT_UP_DOWN_LARGE,2,2,8,1
HINGE_MOVEMENT_UP_DOWN_SMALL,2,2,8,2
HINGE_MOVEMENT_UP_SEQUENTIAL,2,2,9,1
HINGE_MOVEMENT_DOWN_SEQUENTIAL,2,2,9,2
HINGE_MOVEMENT_UP_DOWN_ALTERNATING_LARGE,2,2,10,1
HINGE_MOVEMENT_UP_DOWN_ALTERNATING_SMALL,2,2,10,2
HINGE_MOVEMENT_SIDE_TO_SIDE_SCISSORS,2,2,11,1
FINGER_CONTACT_MOVEMENT_WALL_PLANE,2,2,12,1
FINGER_CONTACT_MOVEMENT_FLOOR_PLANE,2,2,13,1
SINGLE_STRAIGHT_MOVEMENT_WALL_PLANE_SMALL,2,3,1,1
SINGLE_STRAIGHT_MOVEMENT_WALL_PLANE_MEDIUM,2,3,1,2
SINGLE_STRAIGHT_MOVEMENT_WALL_PLANE_LARGE,2,3,1,3
SINGLE_STRAIGHT_MOVEMENT_WALL_PLANE_LARGEST,2,3,1,4
SINGLE_WRIST_FLEX_WALL_PLANE,2,3,1,5
DOUBLE_STRAIGHT_MOVEMENT_WALL_PLANE,2,3,2,1
DOUBLE_WRIST_FLEX_WALL_PLANE,2,3,2,2
DOUBLE_ALTERNATING_MOVEMENT_WALL_PLANE,2,3,3,1
DOUBLE_ALTERNATING_WRIST_FLEX_WALL_PLANE,2,3,3,2
CROSS_MOVEMENT_WALL_PLANE,2,3,4,1
TRIPPLE_STRAIGHT_MOVEMENT_WALL_PLANE,2,3,5,1
TRIPPLE_WRIST_FLEX_WALL_PLANE,2,3,5,2
TRIPPLE_ALTERNATING_MOVEMENT_WALL_PLANE,2,3,6,1
TRIPPLE_ALTERNATING_WRIST_FLEX_WALL_PLANE,2,3,6,2
BLEND_WALL_PLANE_SMALL,2,3,7,1
BLEND_WALL_PLANE_MEDIUM,2,3,7,2
BLEND_WALL_PLANE_LARGE,2,3,7,3
CORNER_WALL_PLANE_SMALL,2,3,8,1
CORNER_WALL_PLANE_MEDIUM,2,3,8,2
CORNER_WALL_PLANE_LARGE,2,3,8,3
CORNER_WALL_PLANE_WITH_ROTATION,2,3,8,4
CHECK_WALL_PLANE_SMALL,2,3,9,1
CHECK_WALL_PLANE_MEDIUM,2,3,9,2
CHECK_WALL_PLANE_LARGE,2,3,9,3
BOX_WALL_PLANE_SMALL,2,3,10,1
BOX_WALL_PLANE_MEDIUM,2,3,10,2
BOX_WALL_PLANE_LARGE,2,3,10,3
ZIGZAG_WALL_PLANE_SMALL,2,3,11,1
ZIGZAG_WALL_PLANE_MEDIUM,2,3,11,2
ZIGZAG_WALL_PLANE_LARGE,2,3,11,3
PEAKS_WALL_PLANE_SMALL,2,3,12,1
PEAKS_WALL_PLANE_MEDIUM,2,3,12,2
PEAKS_WALL_PLANE_LARGE,2,3,12,3
TRAVEL_ROTATION_SINGLE_WALL_PLANE,2,3,13,1
TRAVEL_ROTATION_DOUBLE_WALL_PLANE,2,3,14,1
TRAVEL_ROTATION_ALTERNATING_WALL_PLANE,2,3,15,1
TRAVEL_ROTATION_SINGLE_FLOOR_PLANE,2,3,16,1
TRAVEL_ROTATION_DOUBLE_FLOOR_PLANE,2,3,17,1
TRAVEL_ROTATION_ALTERNATING_FLOOR_PLANE,2,3,18,1
TRAVEL_SHAKING_WALL_PLANE,2,3,19,1
TRAVEL_ARM_SPIRAL_WALL_PLANE_SINGLE,2,3,20,1
TRAVEL_ARM_SPIRAL_WALL_PLANE_DOUBLE,2,3,20,2
TRAVEL_ARM_SPIRAL_WALL_PLANE_TRIPLE,2,3,20,3
DIAGONAL_AWAY_MOVEMENT_SMALL,2,4,1,1
DIAGONAL_AWAY_MOVEMENT_MEDIUM,2,4,1,2
DIAGONAL_AWAY_MOVEMENT_LARGE,2,4,1,3
DIAGONAL_AWAY_MOVEMENT_LARGEST,2,4,1,4
DIAGONAL_TOWARDS_MOVEMENT_SMALL,2,4,2,1
DIAGONAL_TOWARDS_MOVEMENT_MEDIUM,2,4,2,2
DIAGONAL_TOWARDS_MOVEMENT_LARGE,2,4,2,3
DIAGONAL_TOWARDS_MOVEMENT_LARGEST,2,4,2,4
DIAGONAL_BETWEEN_AWAY_SMALL,2,4,3,1
DIAGONAL_BETWEEN_AWAY_MEDIUM,2,4,3,2
DIAGONAL_BETWEEN_AWAY_LARGE,2,4,3,3
DIAGONAL_BETWEEN_AWAY_LARGEST,2,4,3,4
DIAGONAL_BETWEEN_TOWARDS_SMALL,2,4,4,1
DIAGONAL_BETWEEN_TOWARDS_MEDIUM,2,4,4,2
DIAGONAL_BETWEEN_TOWARDS_LARGE,2,4,4,3
DIAGONAL_BETWEEN_TOWARDS_LARGEST,2,4,4,4
SINGLE_STRAIGHT_MOVEMENT_FLOOR_PLANE_SMALL,2,5,1,1
SINGLE_STRAIGHT_MOVEMENT_FLOOR_PLANE_MEDIUM,2,5,1,2
SINGLE_STRAIGHT_MOVEMENT_FLOOR_PLANE_LARGE,2,5,1,3
SINGLE_STRAIGHT_MOVEMENT_FLOOR_PLANE_LARGEST,2,5,1,4
SINGLE_WRIST_FLEX_FLOOR_PLANE,2,5,1,5
DOUBLE_STRAIGHT_MOVEMENT_FLOOR_PLANE,2,5,2,1
DOUBLE_WRIST_FLEX_FLOOR_PLANE,2,5,2,2
DOUBLE_ALTERNATING_MOVEMENT_FLOOR_PLANE,2,5,3,1
DOUBLE_ALTERNATING_WRIST_FLEX_FLOOR_PLANE,2,5,3,2
CROSS_MOVEMENT_FLOOR_PLANE,2,5,4,1
TRIPLE_STRAIGHT_MOVEMENT_FLOOR_PLANE,2,5,5,1
TRIPLE_WRIST_FLEX_FLOOR_PLANE,2,5,5,2
TRIPLE_ALTERNATING_MOVEMENT_FLOOR_PLANE,2,5,6,1
TRIPLE_ALTERNATING_WRIST_FLEX_FLOOR_PLANE,2,5,6,2
BENT_FLOOR_PLANE,2,5,7,1
CORNER_FLOOR_PLANE_SMALL,2,5,8,1
CORNER_FLOOR_PLANE_MEDIUM,2,5,8,2
CORNER_FLOOR_PLANE_LARGE,2,5,8,3
CHECK_FLOOR_PLANE,2,5,9,1
BOX_FLOOR_PLANE_SMALL,2,5,10,1
BOX_FLOOR_PLANE_MEDIUM,2,5,10,2
BOX_FLOOR_PLANE_LARGE,2,5,10,3
ZIGZAG_FLOOR_PLANE_SMALL,2,5,11,1
ZIGZAG_FLOOR_PLANE_MEDIUM,2,5,11,2
ZIGZAG_FLOOR_PLANE_LARGE,2,5,11,3
PEAKS_FLOOR_PLANE_SMALL,2,5,12,1
PEAKS_FLOOR_PLANE_MEDIUM,2,5,12,2
PEAKS_FLOOR_PLANE_LARGE,2,5,12,3
TRAVEL_ROTATION_SINGLE_FLOOR_PLANE_FILLED_ARROW,2,5,13,1
TRAVEL_ROTATION_DOUBLE_FLOOR_PLANE_FILLED_ARROW,2,5,14,1
TRAVEL_ROTATION_ALTERNATING_FLOOR_PLANE_FILLED_ARROW,2,5,15,1
TRAVEL_ROTATION_SINGLE_WALL_PLANE_FILLED_ARROW,2,5,16,1
TRAVEL_ROTATION_DOUBLE_WALL_PLANE_FILLED_ARROW,2,5,17,1
TRAVEL_ROTATION_ALTERNATING_WALL_PLANE_FILLED_ARROW,2,5,18,1
TRAVEL_SHAKING_FLOOR_PLANE,2,5,19,1
CURVE_WALL_PLANE_QUARTER_SMALL,2,6,1,1
CURVE_WALL_PLANE_QUARTER_MEDIUM,2,6,1,2
CURVE_WALL_PLANE_QUARTER_LARGE,2,6,1,3
CURVE_WALL_PLANE_QUARTER_LARGEST,2,6,1,4
CURVE_WALL_PLANE_HALF_CIRCLE_SMALL,2,6,2,1
CURVE_WALL_PLANE_HALF_CIRCLE_MEDIUM,2,6,2,2
